ID	CANONICAL_SMILES	Ki_nM
487	COc1ccc2ccc(cc2c1)S(=O)(=O)N(Cc3cc[nH]n3)[C@H]4CCN(Cc5cccc(c5)C(=N)N)C4=O	1080
4255	COc1ccc(cc1)n2nc(cc2C(=O)Cc3ccc(cc3)N4CCCCC4=O)C(F)(F)F	15000
394	NC(=N)c1ccc(NCCCCCCCNc2ccc(cc2)C(=N)N)cc1	499
2623	NC(=N)NCCCC(NC(=O)[C@@H]1CC[C@H]2CN(CC(=O)N12)C(=O)CCC3CCCCC3)C(=O)c4nccs4	24
4265	OCc1cc(OCc2ccccc2)c(Cc3cc(OCc4ccccc4)c(Cc5cc(OCc6ccccc6)c(Cc7cc(OCc8ccccc8)c(Cc9cc(OCc%10ccccc%10)c(Cc%11cc(O)ccc%11OCC(=O)O)cc9OCC(=O)O)cc7OCC(=O)O)cc5OCC(=O)O)cc3OCC(=O)O)cc1OCC(=O)O	15000
909	NCCC(=O)Nc1cccc(c1)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCC(CCCC(=O)O)CC3	14000
4286	NC(=N)c1ccc(\C=C/2\CC\C(=C/c3ccc(cc3)C(=N)N)\C2=O)cc1	19200
60	Fc1ccc(COc2cccc(NC(=O)C3CCN(CC3)c4ccncc4)c2)cc1	14
4456	CN(CCN1CCCC1)Cc2csc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc4ccc(Cl)cc4)c2Cl	160
2778	Nc1ccc(C[C@H](NS(=O)(=O)c2cnccc2N[C@H](COCCO)Cc3ccccc3)C(=O)N4CCC(CCF)CC4)cc1	49
3705	COC(=O)CC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N.OC(=O)C(F)(F)F	3100
1702	CNC(=O)C(=O)C(NC(=O)[C@@H]1CC[C@H]2CN(CC(=O)N12)S(=O)(=O)Cc3ccccc3)[C@@H]4CC[C@@H](N)CC4	0.33
2311	CS(=O)(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(CN)nc4	6
523	COc1ccc2ccc(cc2c1)S(=O)(=O)N[C@H]3CCN(Cc4ccc5ccnc(N)c5c4)C3=O	1350
2214	C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23	4
1368	N[C@@H](CO)C(=O)NCC(=O)NCc1ccc(cc1)C(=N)N	1000000
545	CC1CNc2c(C1)cccc2S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N5CCC(CCO)CC5	1570
997	COC(=O)N1C[C@@H]([C@H](C1)C(=O)Nc2ccc(cc2F)N3C=CC=CC3=O)C(=O)Nc4ccc(Cl)cn4	25000
1057	Nc1ncc2CC(CNC(=O)[C@@H]3CCCN3C(=O)[C@@H](CC4CCCCC4)NS(=O)(=O)Cc5ccccc5)CCc2n1	35100
4258	COC(=O)Nc1ccc(cc1)c2c[nH]c(n2)[C@H](Cc3ccccc3)NC(=O)\C=C\c4cc(Cl)ccc4n5cnnn5	15000
2964	Cl.CO[C@H]1C[C@@](O)(Cc2ccccc2)C(=O)N3[C@H]1CC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N	125
3544	NC(=N)c1ccc2ccc(CN(CCc3ccc(F)cc3)C(=O)c4cccc5ccccc45)cc2c1	1682
4595	CC[C@@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CSCC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)NC(=O)C)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)O	1.06
2611	Nc1ccc(C[C@H](NS(=O)(=O)c2cnccc2N[C@H](CN3CCOCC3)Cc4ccccc4)C(=O)N5CCC(CCF)CC5)cc1	22
1992	CN(CC(=O)N[C@@H](CCCCN)B(O)O)C(=O)c1ccccc1Sc2ccccc2	1.6
4219	Nc1n[nH]c2cc(ccc12)c3nc([nH]c3Cl)[C@H](Cc4ccccc4)NC(=O)\C=C\c5cc(Cl)ccc5n6cnnn6	13000
1337	NC1CCN(Cc2ccc(OCc3ccccc3)cc2)CC1	581000
2831	CC(C)[C@H](NCc1ccc(cc1)C(=N)N)C(=O)[C@@H](CCCNC(=N)N)NS(=O)(=O)Cc2ccccc2	66
624	Cl.N[C@@H](CN1CCC[C@H]1C(=O)NCc2ccc(cc2)C(=N)N)C3CCCCC3	2600
273	CC(=O)O.NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CCc3ccccc3)cc1	220
1469	[O-][n+]1ccccc1C(F)(F)CNC2=NC=C(Cl)N(CC(=O)NCc3cc(Cl)ccc3n4cnnn4)C2=O	0.0014
162	Cl.Cl.CC(C)[C@@H](N)C(=O)N1CCC[C@H]1C(=O)NCc2ccc(cc2)C(=N)N	70
3295	CCCS(=O)(=O)N[C@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(=O)N)C(=O)NCc1ccc(cc1)C(=N)N	500
1998	CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C[C@@H]3CCCN(C3)C(=N)N)C(=O)c4nc5ccccc5s4	1.6
3624	CCC(C)c1nc2cc(OC3CCN(CC3)C(=N)C)ccc2n1Cc4ccc5ccc(cc5c4)C(=N)N	2300
3770	Oc1[nH]ccc2nc(CN3CCN(CC3=O)S(=O)(=O)c4cc5ccc(Cl)cc5s4)cc12	3900
3762	NC(=N)c1ccc(\C=C\2/CCCCCC\C(=C/c3ccc(cc3)C(=N)N)\C2=O)cc1	3700
2758	CC1=CN=C(NCCc2ccc(cc2)C(F)(F)F)C(=O)N1CC(=O)NCCONC(=N)N	47
3614	NC(=N)c1cccc(c1)N2CCCCN(C3CCN(CC3)S(=O)(=O)c4cccc(N)c4)C2=O.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F	2200
2738	CCCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OCc2ccccc2)C(c3ccccc3)c4ccccc4)B5O[C@@H]6CC7CC(C7(C)C)[C@]6(C)O5	42
4481	Cc1ccc(NC(=O)c2sc3ccccc3c2Cl)c(c1)C(=O)Nc4ccc(Cl)cc4	5000
2231	Cn1c(CNc2ccc(cc2)C(=N)N)nc3cc(ccc13)C(=O)N(CCC(=O)O)c4ccccn4	4.5
822	NCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3ccc(NC(=O)CCN)cc3	8800
1362	NC[C@@H]1CC[C@@H](CNC(=O)N2CCN(CC2)C(=O)O[C@@H]3CCC[C@@H](CCC3)OC(=O)N4CCN(CC4)C(=O)NC[C@@H]5CC[C@@H](CN)CC5)CC1	1000000
3579	CC(=N)N1CC[C@@H](C1)Oc2ccc(cc2)[C@H](Cc3ccc4ccc(cc4c3)C(=N)N)C(=O)O	2000
4004	NC(=N)c1ccc(O)c(Oc2cc(cc(Oc3cccc(c3)C4=NCCN4)n2)C(=O)O)c1	5000
1040	COC(=O)N1C[C@@H]([C@H](C1)C(=O)Nc2ccc(cc2F)N3C=CC=CC3=O)C(=O)Nc4ccc(Cl)cn4	33000
1638	N[C@H](CC1CCCCC1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(=O)C[n+]3ccccc3	0.19
4447	CCNCc1csc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)c1Cl	2600
514	CC(=N)N1CCC(COc2cc(C)cc(OS(=O)(=O)c3ccccc3Cl)c2)CC1	1300
2499	Cc1ccc(cc1)S(=O)(=O)NC(=O)NCC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)Nc3ccc(cc3)S(=O)(=O)NN=C(N)N	15
497	Cl.NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CCC3CCCCC3)cc1	1170
3082	CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=N)N)C(=O)c3nccn3C	200
3946	CCOC(=O)c1ccc(cc1Oc2nc(Oc3cccc(c3)C(=N)N)c(F)c(C)c2F)N(C)C	5000
3210	NC(=N)NS(=O)(=O)c1ccccc1[N+](=O)[O-]	320
2904	COC(=O)CN(C1CCN(CC1)C(=N)C)c2ccc3nc(C)n(Cc4ccc5ccc(cc5c4)C(=N)N)c3c2	98
4489	Fc1ccc(NC(=O)c2sc3ccccc3c2Cl)c(c1)C(=O)Nc4ccc(Cl)cc4	5000
2647	NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3cccc(CNC(=O)Cc4cccc(CC(=O)NCc5cccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)c5)c4)c3)cc1	26.8
2933	Clc1ccc(C[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccccc4)cc1Cl	110
879	NC(=N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N4CCC(CC4)C5CCNCC5)c1	12000
3788	Clc1ccc2cc(sc2c1)S(=O)(=O)N3CCN(Cc4cc5cc[nH]cc5n4)C(=O)C3	3900
3948	CC(=N)N1CCC(CC1)Oc2ccc(cc2C(F)(F)F)N(C\C=C\c3cccc(c3)C(=N)N)C(=O)CCC(=O)O	5000
1826	CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc3ccc(N)nc3C	0.68
2844	NC(=N)N1CCC(CC(=O)CN2CCCC[C@H](NS(=O)(=O)c3ccccc3)C2=O)CC1	71.4
1709	Cl.CC1(C)[C@@H]2C[C@H]3OB(O[C@@]3(C)[C@H]1C2)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)c5cccc(Oc6ccccc6)c5	0.36
869	NCCOCCOCCN1CCN(CC1)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc(c2)C(F)(F)F	11500
515	C(Nc1ccncc1)c2ccc(OC(c3ccccc3)c4ccccc4)cc2	1300
1889	Cc1cc(cc(c1)C(=O)NCc2cc(Cl)ccc2n3cnnn3)N(C4CCCCC4)S(=O)(=O)C	0.93
2268	N[C@@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3cc(Cl)ccc3Cl	5
3594	Cc1cc(C(=O)Nc2ccc(cc2)c3ccccc3S(=O)(=O)N)n(n1)c4ccc(N)nc4	2100
2888	Nc1ccc(C[C@H](NS(=O)(=O)c2cnccc2N[C@H](CN3CCNC(=O)C3)Cc4ccccc4)C(=O)N5CCC(CCF)CC5)cc1	90
3722	NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3cccc(NC(=O)CCN4CCN(CC4)CCC(=O)Nc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)c3)cc1.OC(=O)C(F)(F)F	3250
3480	NC(=N)c1ccc2ccc(CN(CCCc3ccccc3)C(=O)c4cccc5ccccc45)cc2c1	1196
3422	NC(=N)c1cccc(c1)n2nc(cc2C(=O)Nc3ncc(cn3)c4ccccc4S(=O)(=O)N)C(F)(F)F	900
519	N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NC(CCCN=C(N)N)C(=O)CCC(=O)N3CCCCC3	1300
3268	Cc1cccc(c1)C(C)(C)CN(CC(=O)NCC(=O)N[C@@H](CCCNC(=N)N)B(O)O)C(=O)CCc2ccccc2	400
4542	Clc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c3scc(CNCCCn4ccnc4)c3Cl)cc1	1800
2464	N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(N)nc4	12
294	OC(=O)CN[C@H](CC1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCC3CCc4n[nH]cc4C3	280
2606	Cc1cc(OCC2CCN(CC2)C(=N)N)cc(OS(=O)(=O)c3cccc(Cl)c3Cl)c1	22
3604	COC(=O)CC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cc3)c4cccc(C)c4.OC(=O)C(F)(F)F	2100
