ID	CANONICAL_SMILES	Ki_nM
2524	COC(=N)NS(=O)(=O)c1ccc(NC(=O)C2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4)cc1	16
2359	NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3cccc(CNC(=O)CN4CCN(CC4)CC(=O)NCc5cccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)c5)c3)cc1	7.2
1677	CC1=CN=C(NCCc2ccccn2)C(=O)N1CC(=O)NCc3ccc(N)nc3C	0.27
4593	CC[C@@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN(C)CC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](N)Cc4ccccc4)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc6ccc(O)cc6)C(=O)N[C@@H](CC7CCCCC7)C(=O)N[C@@H](CC(=O)O)C(=O)O	0.035
3486	COC(=O)CC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cc3)c4ccccc4SC.OC(=O)C(F)(F)F	1200
763	NC(=[NH2+])c1cccc(NC(=O)CNS(=O)(=O)c2cccc3ccccc23)c1.[O-]C(=O)C(F)(F)F	5820
597	NCCCNc1cccc(c1)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCC(CCN)CC3	2200
1861	NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NS(=O)(=O)c2cccc3ccccc23)C(=O)c4nc5ccccc5s4	0.8
4210	CCOc1cc(ccc1OC(C)C)C(Nc2ccc3c(N)nccc3c2)C(=O)NS(=O)(=O)c4cccc(N)c4	13000
2577	CCCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)B4O[C@@H]5CC6CC(C6(C)C)[C@]5(C)O4	19
2023	NC1CCC(CNC(=O)[C@@H]2CCCN2C(=O)CC(c3ccccc3)c4ccccn4)CC1.OC(=O)C(F)(F)F	1.8
719	NC(=N)c1ccc(Oc2ccc(N)c(Oc3ccc(cc3)C(=N)N)n2)cc1	4400
2739	CC(C)(C)OC(=O)Nc1cccc(c1)c2ccc(s2)C(=O)N[C@@H](CCCN=C(N)N)B3O[C@@H]4CC5CC(C5(C)C)[C@]4(C)O3	42
2477	N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCC#Cc4c[nH]cn4	13
3595	NC(=N)c1cccc(\C=C\2/CCCC\C(=C/c3cccc(c3)C(=N)N)\C2=O)c1	2100
2900	NC(=N)NNS(=O)(=O)c1ccc(cc1)C(=O)O	97
3930	CN(C)C(=O)c1cccc(Oc2nc(Oc3cc(ccc3O)C(=N)N)nc4OCC(=O)Nc24)c1	5000
1798	NC(=N)NCCC[C@H](NC(=O)CN1CCCC[C@H](NS(=O)(=O)Cc2ccccc2)C1=O)C(=O)O	0.54
3395	CN1CCN=C1c2cccc(Oc3cc(cc(Oc4cc(ccc4O)C(=N)N)n3)C(=O)O)c2	810
1190	CC(=O)O.NC(=N)c1ccc(cc1)C(=O)NC[C@H]2CN(C(=O)O2)c3ccc(cc3)N4CCC(CC4)C(=O)O	100000
4296	Cc1cc(C(=O)Nc2ccc(cc2)c3ccccc3S(=O)(=O)N)n(n1)c4cccc(c4)C(=O)N	21000
4134	CN(CC(=O)N[C@@H](CCCCN)C(=O)C(=O)NCCN1CCOCC1)C(=O)c2ccccc2Sc3ccccc3C#N	8700
4516	CC1(C)OCC(COCc2csc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc4ccc(Cl)cc4)c2Cl)O1	5000
4558	CNc1nccn1Cc2csc(C(=O)Nc3c(OC)cc(Cl)cc3C(=O)Nc4ccc(Cl)cn4)c2Cl	990
1111	NC(=N)c1ccc2[nH]c(nc2c1)c3ccccn3	60000
166	CCCN(Cc1ccncc1)C(=O)c2cc(C)cc(OCCCON=C(N)N)c2	73
4536	CNCc1csc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)c1Cl	3700
3778	Clc1ccc2cc(sc2c1)S(=O)(=O)N3CCN(Cc4cc5[nH]cccc5n4)C(=O)C3	3900
2518	NCc1ccc(Cl)cc1CN=C(O)[C@@H]2CCCN2C(=O)C3(O)CCc4ccncc34	16
3590	NC(=N)c1ccc(CNC(=O)[C@@H]2CCC(=O)NCc3cccc(CNC(=O)CC[C@@H](NS(=O)(=O)Cc4ccccc4)C(=O)N2)c3)cc1	2020
3171	CCOC(=O)[C@@H]1C[C@H](CN1)Oc2c(F)c(Oc3cccc(c3)C(=O)N(C)C)nc(Oc4cc(ccc4O)C(=N)N)c2F	280
3802	COC(=O)[C@H](Cc1cccc(c1)C(=N)N)[C@@H](C)NC(=O)c2ccc(cc2)c3cccc(c3)C(=O)N	4000
1335	COC(=O)NC(=N)c1ccc(CNC(=O)N2CCN(CC2)C(=O)O[C@@H]3CCC[C@@H](CCC3)OC(=O)N4CCN(CC4)C(=O)NCCC5CCNCC5)cc1	561000
1737	CC(C)C[C@@H]1CC2=C(NC1=O)C(=O)N(CC(=O)NCc3ccc(N)nc3C)C(=C2)C	0.4
4108	CN(CC(=O)N[C@@H](CCCCN)C(=O)C(=O)NCc1ccccn1)C(=O)c2ccccc2Sc3ccccc3C#N	7400
3266	NCc1ccc(Cl)cc1CN=C(O)[C@@H]2CCCN2C(=O)C3c4ccccc4CS3(=O)=O	400
157	CCNC(=O)NCCC1CCN(CC1)C(=O)[C@H](Cc2nc3ccccc3s2)NS(=O)(=O)c4cccc5CC(C)(C)CNc45	65
4517	[O-][N+](=O)c1ccc(NC(=O)c2sc3ccccc3c2Cl)c(c1)C(=O)Nc4ccc(Cl)cc4	5000
3552	COC(=O)CC(CCc1ccc(NS(=O)(=O)c2ccccc2)cc1)c3cccc(c3)C(=N)N	1750
2504	CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NC(CCCN=C(N)N)C(=O)c3nc(O)c4ccccc4n3	15
3341	COC(=O)CC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)C.OC(=O)C(F)(F)F	600
369	CCOC(=O)CN(Cc1ccc(F)c(F)c1)c2ccc3N(C)CC(C)(COc4ccc(cc4)C(=N)N)Oc3c2	430
2129	CC(C)(C)OC(=O)N[C@H](C(C1CCCCC1)C2CCCCC2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(N)nc4	3
1696	CCN(CC)C(=O)CN[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3cc(Cl)ccc3Cl	0.31
1051	Clc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)CC3CCCCC3)c1	34500
3805	NC(=N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(s3)c4cccnc4)C2=O)c1	4000
899	NC(Cc1cccc2ccccc12)C(=O)N3CCC[C@H]3C(=O)NC(CCCN=C(N)N)C(=O)CCC(=O)N4CCCCC4.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F	13500
3243	Nc1nc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccc(Cl)c(Cl)c3)NS(=O)(=O)Cc4ccccc4)cs1	360
225	NC(=N)NCCCNC(=O)[C@@H]1CS[C@H]2CC[C@@H](NS(=O)(=O)Cc3ccccc3)C(=O)N12.OC(=O)C(F)(F)F	145
2320	CC1CCN(CC1)C(=O)C(Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3ccc4ccccc4c3	6.2
2083	NCCCCC(NC(=O)CN(CC1(CCCC1)c2ccccc2)C(=O)CCc3ccccc3)B(O)O	2.4
4590	CC[C@@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN(CC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](N)CC4CCCCC4)C(=O)C)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc6ccc(O)cc6)C(=O)N[C@@H](CC7CCCCC7)C(=O)N[C@@H](CC(=O)O)C(=O)O	0.0017
19	Cl.NC(=N)N1CCCC(CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N4CCCCCCC4)C1	4.8
4167	COc1ccc(cc1)n2nc(C(=O)N(C)C)c3CCN(C(=O)c23)c4ccc(cc4)c5ccccc5CN6CC[C@@H](O)C6	11000
4174	NC(=N)c1cccc(c1)N2CCN(C3CCN(Cc4ccccc4)CC3)C2=O	11000
3585	NC(=N)c1cccc(c1)c2nocc2C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N.OC(=O)C(F)(F)F	2000
2025	CC1(C)[C@@H]2C[C@H]3OB(O[C@@]3(C)[C@H]1C2)[C@H](CCCCN)NC(=O)Cn4nc(CC#N)nc4Cc5cccc(c5)[N+](=O)[O-]	1.8
2164	CN(C1CCCC1)C(=O)[C@H](Cc2ccc(CN)cc2)NS(=O)(=O)c3ccc4CCCCCc4c3	3.3
3447	CCC(NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)B4O[C@@H]5CC6CC(C6(C)C)[C@]5(C)O4	1000
227	CC1=CC=C(NS(=O)(=O)Cc2ccc(F)cc2)C(=O)N1CC(=O)NCC3CCc4n[nH]cc4C3	149
2036	CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2F)C(=N)NN)NS(=O)(=O)c3ccc4ccccc4c3	2
3643	NC(=N)c1cccc(COC(=O)c2cc3ccccc3n2Cc4cccc(c4)C(=N)N)c1	2460
4153	CC(=N)N1CCC(CC1)Oc2ccc(cc2)N(Cc3ccc4ccc(cc4c3)C(=N)N)S(=O)(=O)CC(=O)O	10000
2290	COc1cccc(c1)S(=O)(=O)NC2=CC=CN(CC(=O)NCc3ccc(cc3)C(=N)N)C2=O	5.3
3249	N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4c[nH]cn4	380
904	Cc1ccc(O)c(c1)C(=O)Nc2ccc(cc2)C(=N)N	14000
13	Cc1cc(OCC2(CON=C(N)N)CC2)cc(c1)C(=O)N(CC3CC3)Cc4cocc4	4
2459	Cc1nc(N)ccc1CNC(=O)C2C=CCN3N2C(=O)N(C(CSC4CCCCC4)C(=O)O)C3=O	11
1695	NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCN2CC[C@@](N)(Cc3ccccc3)CN12)C(=O)C(=O)NCCc4ccc(Cl)cc4	0.31
3329	NC(=N)c1ccc(Oc2cccc(Oc3ccc(cc3)C(=N)N)n2)cc1	550
1354	CN(Cc1ccc(CN(C)C(=O)CCC(=O)NCc2ccc(CN)cc2)cc1)C(=O)CCC(=O)NCc3ccc(CN)cc3	1000000
3358	C[C@H](NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1	637
609	NCCCCCCCCCCCC(=O)N1CCN(CC1)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc(c2)C(F)(F)F	2500
3923	Cc1c(F)c(Oc2cccc(c2)C(=N)N)nc(Oc3cccc(c3)C(=O)N)c1F	5000
735	CC(C)c1cc(C(C)C)c(c(c1)C(C)C)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCCN(CC3)C(=O)C4CCNCC4	5000
2999	CC1=CN=C(NCC(F)(F)c2ccccc2)C(=O)N1CC(=O)NCc3cnc(N)nc3C	140.8
3691	CCOc1cc(ccc1OC(C)C)C(Nc2ccc3c(N)nccc3c2)C(=O)NS(=O)(=O)c4ccc(C)cc4	2900
2969	CC(C)NC1=NC(=C2N([C@@H](CC2(C)C)C(=O)NCc3ccc(cc3)C(=N)N)C1=O)Cl	130
4328	COc1ccc(cc1)n2nc(cc2C(=O)Nc3ccc(cc3F)c4ccccc4S(=O)(=O)C)C(F)(F)F	21000
1872	CCCC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc3ccc(N)nc3C	0.85
3271	COC(=N)NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	403
3992	Cc1c(F)c(Oc2cccc(c2)C(=N)N)nc(Oc3cccc(c3)C(F)(F)F)c1F	5000
2883	COc1ccc(cc1OC)S(=O)(=O)N[C@H]2CCCCN(CC(=O)CC3CCN(CC3)C(=N)N)C2=O	85.7
3530	NC(=N)c1ccc(Oc2cc(Oc3ccc(cc3)C(=N)N)cc(c2)C(=O)N4CCc5ccccc5C4)cc1	1562
589	Cc1cc(OC[C@@H]2CC[C@H](CC2)C(=N)N)cc(OS(=O)(=O)c3ccccc3Cl)c1	2100
2971	Cc1nn(c2ccc3onc(N)c3c2)c4C(=O)N(CCc14)c5ccc(cc5)c6ccccc6CN7CC[C@@H](O)C7	130
2809	COC(=N)NS(=O)(=O)c1ccc(NC(=O)[C@@H](Cc2ccccc2)NC(=O)NS(=O)(=O)c3ccc(C)cc3)cc1	60
2218	Cc1nc(N)ccc1CNC(=O)CN2C(=O)C(=CC=C2C3CC3)NS(=O)(=O)Cc4ccc(Cl)cc4	4
4058	CS(=O)(=O)c1ccccc1c2ccc(cc2)N3CCc4c(C3=O)n(nc4C(F)(F)F)c5cccc(c5)C6=NNC(=O)N6	6000
4240	CCCS(=O)(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCC(=O)N)C(=O)NCc1ccc(cc1)C(=N)N	13342
3501	CS(=O)(=O)NCC1(CC(=NO1)c2ccc(Cl)c(N)c2)C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N	1300
4268	COc1ccc(OCC(=O)O)c(Cc2cc(OCC3CCCCC3)c(Cc4cc(OCC(=O)O)c(Cc5cc(OCC6CCCCC6)c(Cc7cc(OCC(=O)O)c(Cc8cc(OCC9CCCCC9)c(C)cc8OC)cc7OC)cc5OC)cc4OC)cc2OC)c1	15000
380	Cc1cc(OCCCC(=N)N)cc(OS(=O)(=O)c2ccccc2Cl)c1	460
816	Clc1ccc(s1)c2onc(Cn3c(cc4ccccc34)C(=O)NC5CCN(CC5)C6CC6)c2	8220
3284	OC(=O)CN[C@H](CC1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCC#Cc3c[nH]cn3	480
3476	CC(C)CCN(Cc1ccc2ccc(cc2c1)C(=N)N)C(=O)c3cccc4ccccc34	1164
2420	C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23	9.9
657	CCOc1cc(OC2CCN(CC2)S(=O)(=O)C)cc(c1)C(Nc3ccc(cc3)C(=N)N)C(=O)O	3500
3776	CC(C)COCC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N.OC(=O)C(F)(F)F	3900
2038	C[C@H](N1CC[C@H](NS(=O)(=O)\C=C(/C)\c2ccc(Cl)s2)C1=O)C(=O)N3CCOCC3	2
1426	CC(=N)N1CCC(CC1)Oc2ccc(cc2)C(=O)NCCOc3cc(ccc3CCC(=O)O)C(=N)N	1500000
867	NC(=[NH2+])c1ccc(CNC(=O)[C@H](COCc2ccccc2)NS(=O)(=O)c3cccc(c3)C(=[NH2+])N)cc1.[O-]C(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F	11200
1076	Cl.N[C@@H](CN1CCC[C@H]1C(=O)NCc2cccc(Cl)c2)Cc3ccccc3	45000
2573	COC(=O)C(=O)NC(CCc1cccc[n+]1[O-])C(=O)N2CCC[C@H]2C(=O)NCc3cc(Cl)ccc3CN	19
3733	CCCS(=O)(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCSC)C(=O)NCc1ccc(cc1)C(=N)N	3400
73	Cl.Cl.CC[C@@H](C)[C@@H](N)C(=O)N1CCC[C@H]1C(=O)NCc2ccc(cc2)C(=N)N	20
2763	C[S+]([O-])Cc1nc(Cc2ccccc2)n(CC(=O)N[C@@H](CCCCN)B3O[C@@H]4C[C@@H]5C[C@@H](C5(C)C)[C@]4(C)O3)n1	47
900	Clc1cccc(Cn2cc(COc3cccc(NS(=O)(=O)\C=C\c4cccc(Cl)c4)c3)nn2)c1	13700
3730	COC(=O)CC(CCCCc1ccc(NC(=N)N)cc1)c2cccc(c2)C(=N)N	3300
3603	CN(C)C(=O)COc1ccc(Cl)cc1CNC(=O)CN2C(=CC(=C(N)C2=O)C(F)(F)F)C	2100
3895	NC(=N)c1ccc(CNc2ccc3ccn(c4ccc(cc4)C(=N)N)c3c2)cc1	4530
4041	CCS(=O)(=O)c1ccc2NC(=O)CCCc3ccc(cc3)[C@@H](Nc4ccc5c(N)nccc5c4)C(=O)NCc1c2	5800
1033	NC(=N)c1ccc(cc1)C(=O)NCC2CCN(CC2)C(=O)O[C@@H]3CCC[C@@H](CCC3)OC(=O)N4CCN(CC4)C(=O)CCCC5CCNCC5	31900
1833	N[C@@H]1CC[C@H](CC1)C(NC(=O)[C@@H]2CC[C@H]3CN(CC(=O)N23)S(=O)(=O)Cc4ccccc4)C(=O)c5nc6ccccc6s5	0.72
3489	NC(=N)c1ccc(Oc2cccc(Oc3ccccc3C(=N)N)n2)cc1	1200
2566	CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2)C(N)NN)NS(=O)(=O)Cc3ccccc3	18.4
2490	NCc1ccc(Cl)cc1CN=C(O)[C@@H]2CCCN2C(=O)C3OCc4ccccc34	15
193	C[C@H](NC(=O)[C@@H](CO)NS(=O)(=O)Cc1ccccc1)C(=O)NCc2ccc(cc2)C(=N)N	100
2024	CC1=CC(=C(N)C(=O)N1CC(=O)NCc2ccc(N)nc2C)S(=O)(=O)CC3CC3	1.8
2955	CN(C)c1cccc(Oc2cc(cc(Oc3cc(ccc3O)C(=N)N)n2)C(=O)O)c1	120
1810	NC(=N)NCCCC(NC(=O)[C@@H]1CC[C@H]2CN(CC(=O)N12)C(=O)CCc3ccccc3)C(=O)c4nccs4	0.6
3692	NC(=N)c1cccc(c1)C2=NOC(Cn3ncnn3)(C2)C(=O)Nc4ccc(cc4)c5ccccc5S(=O)(=O)N.OC(=O)C(F)(F)F	2900
2018	CS(=O)(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4csc(c4)C(=N)NN	1.8
3680	NC(=N)c1ccc2ncn(CC(=O)c3ccc(cc3)c4ccccc4S(=O)(=O)N)c2c1	2800
3655	CCc1nc2ccc(OC3CCN(CC3)C(=N)C)cc2n1C\C=C\c4cc(N)ccc4OC	2600
1391	NC(=N)Nc1ccc(CNC(=O)CC(=O)NCc2ccc(CNC(=O)CC(=O)NCc3ccc(NC(=N)N)cc3)cc2)cc1	1000000
446	Cl.NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CCc3ccccc3)cc1	750
3568	CN(c1cccc(c1)C(=N)N)c2nc(Oc3cccc(c3)C(=N)N)c(F)c(C)c2F	1900
1524	COC(=O)N[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)NCc4ccc(cc4)C(=N)N.OC(=O)C(F)(F)F	0.036
3224	COC(=N)NS(=O)(=O)c1c(C)cc(C)cc1C	348
2947	NC(=N)c1ccc(\C=C/2\CCC\C(=C/c3ccc(cc3)C(=N)N)\C2=O)cc1	120
450	CN1CC(C)(COc2ccc(cc2)C(=N)N)Oc3ccc(cc13)N(CC(=O)O)Cc4cc(F)cc(F)c4	760
3314	C[C@@]1(CCCN1C(=O)[C@@H]2CCC(=N2)O)C(=NCc3cc(Cl)ccc3CN)O	526
2541	CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C=O	18
632	COC(=O)C(Cc1ccccc1)C(=O)Nc2ccc3N(C)CC(C)(COc4ccc(cc4)C(=N)N)Oc3c2	2860
3440	COc1cc(CCC\C=N\N=C(N)N)cc(OS(=O)(=O)c2ccccc2Cl)c1	990
3018	NC(=N)NS(=O)(=O)c1cc(Cl)cc(Cl)c1O	152
3186	NC(=N)c1cccc(c1)n2nncc2C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N.OC(=O)C(F)(F)F	300
3460	COc1ccc2ccc(cc2c1)S(=O)(=O)N(C)[C@H]3CCN(Cc4cccc(c4)C(=N)N)C3=O	1051
2626	C[C@H](NC(=O)[C@@H](CCc1ccccn1)NS(=O)(=O)Cc2ccccc2)C(=O)NCc3cc(Cl)ccc3CN	24
3227	NC(=N)c1ccc(\C=C/2\CCCCCC\C(=C/c3ccc(cc3)C(=N)N)\C2=O)cc1	350
1114	N[C@@H]1CC[C@@H]2SC[C@H](N2C1=O)C(=O)NCCCCN=C(N)N.OC(=O)C(F)(F)F	62400
3298	CN1CCN(CCCN(Cc2ccc3ccc(cc3c2)C(=N)N)C(=O)c4cccc5ccccc45)CC1	500
130	COc1ccc2cc(ccc2c1)S(=O)(=O)NN(Cc3ccc(cc3)C(=N)N)C(=O)N4CCC(C)CC4	45
2886	NCc1ccc(Cl)cc1CN=C(O)[C@@H]2CCCN2C(=O)c3cc(c[nH]3)C(=O)c4ccncc4	87
2857	NCc1ccc(Cl)cc1CN=C(O)[C@@H]2CCCN2C(=O)C3NCc4ccccc34	77
175	CC1CCCCN1C(=O)N(Cc2ccc(cc2)C(=N)N)NS(=O)(=O)c3ccc4ccccc4c3	85
4579	Cl.CN(C)Cc1nccn1c2ccc(NC(=O)c3cc(nn3c4ccc5onc(N)c5c4)C(F)(F)F)c(F)c2	540
4294	CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4cccc(CNC(=O)CN)c4)C(F)(F)F)c(F)c2	21000
3717	CC(C)(C)c1ccc(cc1)C(=O)NC\C=C\c2cc(ccc2O)C(=N)N	3200
2881	CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=N)N)C(=O)c3ccccn3	85
2202	COc1cc(Cc2c(sc3cc(O)ccc23)c4ccc(OCCN)cc4)ccc1CN5CCCC5	3.8
4124	Nc1noc2ccc(cc12)n3nc(cc3C(=O)Nc4ccc(cc4F)C(=O)N5CCCC5)C(F)(F)F	8000
67	CCOC(=O)C(=O)N(Cc1ccccc1)c2ccc3O[C@@H](COc4ccc(cc4)C(=N)N)COc3c2	18
2520	CCN([C@@H](CC(=O)O)C(=O)N1CCCCC1CCOC2CCN(CC2)C(=N)N)C3CCCCC3	16
4011	Cc1c(F)c(Oc2cccc(CC(=O)O)c2)nc(Oc3cccc(c3)C(=N)N)c1F	5000
492	CC(C)Oc1cccc(NC(=O)c2cc(C3CCOC3)c4cc(ccc4c2)C(=N)N)c1	1100
3922	CCOC(=O)c1cccc(Oc2nc(Oc3cccc(c3)C(=N)N)c(F)c(C)c2F)c1	5000
962	CCOC(=O)C(Oc1ccc2CCN(Cc2c1)C(=N)N)c3ccc(OC4CCN(CC4)C(=N)CC)cc3	20000
4332	Nc1cc(ccc1Cl)C2=NOC(Cn3cccn3)(C2)C(=O)Nc4ccc(cn4)c5ccccc5S(=O)(=O)N	21000
3777	Nc1[nH]ccc2nc(CN3CCN(CC3=O)S(=O)(=O)c4cc5ccc(Cl)cc5s4)cc12	3900
1201	NC(=N)N1CCc2ccc(OC(C(=O)O)c3ccc(OC4CCOCC4)cc3)cc2C1	100000
3767	Cc1c(F)c(Oc2cccc(Nc3ccccc3)c2)nc(Oc4cccc(c4)C(=N)N)c1F	3800
602	COc1ccc(CNC(=O)[C@H](NC(=O)c2cccc(c2)C(=N)N)c3ccccc3)cc1	2300
304	CCOC(=O)C(=O)N(Cc1cc(F)cc(F)c1)c2ccc3OC(C)(COc4ccc(cc4)C(=N)N)CN(C)c3c2	290
2871	CC1(C)[C@@H]2C[C@H]3OB(O[C@@]3(C)[C@H]1C2)[C@H](CCCCN)NC(=O)Cn4nc(CO)nc4Cc5ccccc5	84
4192	Clc1ccc(s1)C(=O)N[C@@H]2COC[C@@H]2NC(=O)c3ccc(cc3)N4C=CC=CC4=O	12000
3608	NC(=N)c1cccc(\C=C\2/CCCC\C(=C/c3cccc(c3)C(=N)N)\C2=O)c1	2100
247	CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCC3CCc4n[nH]cc4C3	170
3007	CC(=O)N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNc3ccnc(N)n3)B4O[C@@H]5CC6CC(C6(C)C)[C@]5(C)O4	150
2510	CCCCS(=O)(=O)N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCn3ccnc3[N+](=O)[O-])B4O[C@@H]5CC6CC(C6(C)C)[C@]5(C)O4	15
3279	COC(=N)NS(=O)(=O)Cc1ccccc1	450
2409	Cc1cc(OCC\C=N\N=C(N)N)cc(OS(=O)(=O)c2ccc(Cl)s2)c1	9.2
2201	CC(C)([C@@H](O)C(=O)N1CC[C@H]1C(=O)NCc2cc(Cl)ccc2CN)C3CC3	3.7
4063	NC(=N)c1cccc(NCCCc2ccc(cc2)c3ccccc3S(=O)(=O)N)c1.OC(=O)C(F)(F)F	6100
2329	NC(=N)c1ccc(C[C@@H](NC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)C(=O)N4CCCCC4)cc1	6.5
1439	CCOC(=O)N[C@@H](CCCCN)C(=O)c1noc(Cc2ccc(OCCc3ccccc3)cc2)n1	64000
1066	CN(C)CCC1CCN(CC1)C(=O)[C@H](Cc2nc3ccccc3s2)NS(=O)(=O)c4cccc5CC(C)(C)CNc45	38320
893	NC(=N)c1ccc2[nH]c(cc2c1)c3ccccc3O	13000
2478	NCCCC[C@H](NC(=O)CN(C1CC1)C(=O)[C@H](N)CC2CCCCC2)C(=O)c3nccs3	13
1895	NCc1ccc(Cl)cc1CNC(=O)[C@@H]2CCCN2C(=O)C3(O)c4ccccc4c5cc[n+]([O-])cc35	0.98
1300	NC(=N)N1CCC(CNC(=O)CNC(=O)OCc2ccc(COC(=O)NCC(=O)NCC3CCN(CC3)C(=N)N)cc2)CC1	386000
358	Cc1cc(I)c(O)c(c1)C(=O)Nc2ccc(cc2)C(=N)N	380
3346	Cc1cn(c2cccc(c2)C(=N)N)c(n1)C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N.OC(=O)C(F)(F)F	600
3083	NC(=N)c1ccc2[nH]cc(CC(=O)Nc3ccc(cc3Br)c4ccccc4S(=O)(=O)N)c2c1	200
1162	NC(=N)N1CCc2ccc(OC(C(=O)O)c3ccc(O[C@H]4CCNC4)cc3)cc2C1	100000
2926	NC(=N)NS(=O)(=O)c1ccc(cc1)C(=O)O	104
2162	NCc1ccc(Cl)cc1CNC(=O)[C@@H]2CCCN2C(=O)C3(O)c4ccccc4c5cccnc35	3.3
2258	CN(CC(=O)N[C@@H](CCCCN)B(O)O)C(=O)c1ccccc1Cc2ccccc2	4.9
